Option,Operation10,dfefadfeadsfesf,www,afsd,asd
Zone,OperateZone1,OperateZone1,OperateZone1,OperateZone1,OperateZone1
IsClear,TRUE,TRUE,TRUE,True,True
Time,6.008825,6.010254,3.007475,3.015133,3.015132
Score,10950,10950,10550,10500,10550
Kill,7,7,2,1,2
CollectLevel,1,1,1,1,1
CorePart,BaseCore,BaseCore,BaseCore,BaseCore,BaseCore
HeadPart,BaseHead,BaseHead,BaseHead,BaseHead,BaseHead
BodyPart,BaseBody,BaseBody,BaseBody,BaseBody,BaseBody
LeftArmPart,BaseArm,BaseArm,BaseArm,BaseArm,BaseArm
RightArmPart,BaseArm,BaseArm,BaseArm,BaseArm,BaseArm
LegPart,BaseLeg,BaseLeg,BaseLeg,BaseLeg,BaseLeg
